TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nogo,square.png,None,1414,1.414,1.914,0,50,50,68,,,,,,,,,,,,,,,,,,,,,,,,,135.00326849999692,135.50458359999902,135.4877142999976,136.90742599999794,None,1,135.00326849999692,135.00326849999692,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1698,1.698,2.198,0,51,51,32,,,,,,,,,,,,,,,,,,,,,,,,,136.92291110000224,137.4238114999971,137.4074888000032,139.1100987000027,None,1,136.92291110000224,136.92291110000224,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1139,1.139,1.639,0,52,52,48,,,,,,,,,,,,,,,,,,,,,,,,,139.12679639999988,139.62696139999753,139.61011409999628,140.76368859999639,None,1,139.12679639999988,139.12679639999988,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1711,1.711,2.211,0,53,53,65,,,,,,,,,,,,,,,,,,,,,,,,,140.77852420000272,141.2796434999982,141.26262390000193,142.98189840000123,space,1,140.77852420000272,140.77852420000272,0.3410853000023053,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1095,1.095,1.595,0,54,54,63,,,,,,,,,,,,,,,,,,,,,,,,,142.9996226000003,143.50007119999646,143.4837914000018,144.58555920000072,space,1,142.9996226000003,142.9996226000003,0.27281550000043353,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1761,1.761,2.261,0,55,55,95,,,,,,,,,,,,,,,,,,,,,,,,,144.60161060000246,145.10195540000132,145.08483590000105,146.85504599999695,space,1,144.60161060000246,144.60161060000246,0.25456349999876693,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1716,1.716,2.216,0,56,56,14,,,,,,,,,,,,,,,,,,,,,,,,,146.87155750000238,147.37158040000213,147.35508839999966,149.07421240000258,space,1,146.87155750000238,146.87155750000238,0.2644695999988471,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1806,1.806,2.306,0,57,57,85,,,,,,,,,,,,,,,,,,,,,,,,,149.09191889999784,149.59209259999625,149.57578079999803,151.3954864999978,space,1,149.09191889999784,149.09191889999784,0.323785599997791,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1641,1.641,2.141,0,58,58,86,,,,,,,,,,,,,,,,,,,,,,,,,151.41157920000114,151.91302749999886,151.89508039999782,153.54823500000202,space,1,151.41157920000114,151.41157920000114,0.41240280000056373,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1582,1.582,2.082,0,59,59,67,,,,,,,,,,,,,,,,,,,,,,,,,153.56464289999712,154.06516259999626,154.04813779999677,155.6344281999991,space,1,153.56464289999712,153.56464289999712,0.29976479999459116,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1447,1.447,1.947,0,60,60,7,,,,,,,,,,,,,,,,,,,,,,,,,155.6512373000005,156.15191039999627,156.13583010000002,157.58805399999983,space,1,155.6512373000005,155.6512373000005,1.5808879000032903,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1102,1.102,1.602,0,61,61,80,,,,,,,,,,,,,,,,,,,,,,,,,157.60387320000154,158.10420599999634,158.08776719999878,159.18997390000004,None,1,157.60387320000154,157.60387320000154,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1036,1.036,1.536,0,62,62,70,,,,,,,,,,,,,,,,,,,,,,,,,159.20574240000133,159.70662599999923,159.69051020000188,160.7250731000022,space,1,159.20574240000133,159.20574240000133,0.5783311000050162,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1973,1.973,2.473,0,63,63,37,,,,,,,,,,,,,,,,,,,,,,,,,160.74147359999915,161.24204279999685,161.22729439999966,163.21234019999974,space,1,160.74147359999915,160.74147359999915,0.44223519999650307,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1154,1.154,1.654,0,64,64,40,,,,,,,,,,,,,,,,,,,,,,,,,163.2283746999965,163.72948229999747,163.71316449999722,164.8821218000012,None,1,163.2283746999965,163.2283746999965,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1074,1.074,1.574,0,65,65,41,,,,,,,,,,,,,,,,,,,,,,,,,164.89851169999747,165.39915109999856,165.38217440000153,166.46723580000253,space,1,164.89851169999747,164.89851169999747,0.46161879999999655,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1003,1.003,1.503,0,66,66,15,,,,,,,,,,,,,,,,,,,,,,,,,166.4838776999968,166.98423339999863,166.96763629999623,None,space,1,166.4838776999968,166.4838776999968,0.26823549999971874,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1087,1.087,1.587,0,67,67,50,,,,,,,,,,,,,,,,,,,,,,,,,167.9854103999969,168.48716640000202,168.47025089999806,169.57145540000056,space,1,167.9854103999969,167.9854103999969,0.2632690000027651,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1630,1.63,2.13,0,68,68,23,,,,,,,,,,,,,,,,,,,,,,,,,169.588267799998,170.08998229999997,170.07267670000147,171.7090551000001,space,1,169.588267799998,169.588267799998,0.315837800000736,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1566,1.566,2.066,0,69,69,25,,,,,,,,,,,,,,,,,,,,,,,,,171.72532209999918,172.22590330000094,172.208521499997,173.77811379999912,space,1,171.72532209999918,171.72532209999918,0.5223943000019062,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1518,1.518,2.018,0,70,70,56,,,,,,,,,,,,,,,,,,,,,,,,,173.79411249999976,174.29575320000004,174.2791309000022,175.7978471000024,None,1,173.79411249999976,173.79411249999976,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1844,1.844,2.344,0,71,71,88,,,,,,,,,,,,,,,,,,,,,,,,,175.8137579999966,176.31576810000115,176.29801469999802,178.1512526000006,None,1,175.8137579999966,175.8137579999966,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1161,1.161,1.661,0,72,72,62,,,,,,,,,,,,,,,,,,,,,,,,,178.16737360000116,178.66781189999892,178.65152279999893,179.82097259999864,space,1,178.16737360000116,178.16737360000116,0.48076579999906244,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
